time,o,h,l,c,volume,complete
2023-07-09 22:00:00+01:00,0.66832,0.66917,0.66819,0.66899,781,True
2023-07-09 23:00:00+01:00,0.66902,0.6696,0.66879,0.6689,847,True
2023-07-10 00:00:00+01:00,0.6689,0.66898,0.66842,0.6688,943,True
2023-07-10 01:00:00+01:00,0.66881,0.6692,0.66808,0.6683,2334,True
2023-07-10 02:00:00+01:00,0.66829,0.6696,0.6676,0.66862,3046,True
2023-07-10 03:00:00+01:00,0.66861,0.66906,0.66757,0.66792,2389,True
2023-07-10 04:00:00+01:00,0.66796,0.66821,0.66629,0.66658,2039,True
2023-07-10 05:00:00+01:00,0.66659,0.66722,0.66616,0.66658,1685,True
2023-07-10 06:00:00+01:00,0.66659,0.6668,0.66544,0.66554,1898,True
2023-07-10 07:00:00+01:00,0.66554,0.66581,0.66459,0.66484,2171,True
2023-07-10 08:00:00+01:00,0.6649,0.66558,0.66408,0.66498,2283,True
2023-07-10 09:00:00+01:00,0.66498,0.66545,0.66434,0.66467,1918,True
2023-07-10 10:00:00+01:00,0.66464,0.66464,0.66345,0.6637,1641,True
2023-07-10 11:00:00+01:00,0.6637,0.6644,0.6633,0.66416,1539,True
2023-07-10 12:00:00+01:00,0.66417,0.6647,0.66404,0.66438,1568,True
2023-07-10 13:00:00+01:00,0.66435,0.66463,0.66238,0.66265,2585,True
2023-07-10 14:00:00+01:00,0.66266,0.66596,0.66266,0.66565,3523,True
2023-07-10 15:00:00+01:00,0.66566,0.6663,0.66474,0.66566,3483,True
2023-07-10 16:00:00+01:00,0.66562,0.66696,0.6653,0.66674,2459,True
2023-07-10 17:00:00+01:00,0.66673,0.66721,0.66634,0.66718,1489,True
2023-07-10 18:00:00+01:00,0.66717,0.66802,0.66717,0.6679,1702,True
2023-07-10 19:00:00+01:00,0.6679,0.66794,0.66718,0.66773,1481,True
2023-07-10 20:00:00+01:00,0.66774,0.66792,0.66759,0.66772,1141,True
2023-07-10 21:00:00+01:00,0.66772,0.66784,0.66752,0.66756,440,True
2023-07-10 22:00:00+01:00,0.66736,0.66795,0.66732,0.66758,341,True
2023-07-10 23:00:00+01:00,0.66758,0.66784,0.6675,0.66756,458,True
2023-07-11 00:00:00+01:00,0.66755,0.66786,0.6674,0.66767,704,True
2023-07-11 01:00:00+01:00,0.66768,0.6691,0.66742,0.66864,2256,True
2023-07-11 02:00:00+01:00,0.66862,0.66921,0.66824,0.66846,2511,True
2023-07-11 03:00:00+01:00,0.66844,0.66898,0.66764,0.66896,2573,True
2023-07-11 04:00:00+01:00,0.66896,0.66904,0.66809,0.66877,1848,True
2023-07-11 05:00:00+01:00,0.66878,0.66918,0.66845,0.66896,1825,True
2023-07-11 06:00:00+01:00,0.66892,0.6695,0.66768,0.66786,2309,True
2023-07-11 07:00:00+01:00,0.66789,0.66944,0.66789,0.66912,2844,True
2023-07-11 08:00:00+01:00,0.6691,0.66922,0.66716,0.6673,2548,True
2023-07-11 09:00:00+01:00,0.66727,0.66828,0.66615,0.66654,2202,True
