time,o,h,l,c,volume,complete
2023-07-02 23:00:00+01:00,4452.0,4456.5,4451.0,4451.5,357,True
2023-07-03 00:00:00+01:00,4451.6,4454.5,4451.5,4454.5,295,True
2023-07-03 01:00:00+01:00,4454.6,4456.0,4450.2,4451.2,460,True
2023-07-03 02:00:00+01:00,4451.5,4454.0,4450.2,4452.2,478,True
2023-07-03 03:00:00+01:00,4452.5,4453.2,4451.5,4452.7,315,True
2023-07-03 04:00:00+01:00,4452.2,4454.2,4451.2,4453.7,175,True
2023-07-03 05:00:00+01:00,4453.4,4454.5,4452.7,4454.2,130,True
2023-07-03 06:00:00+01:00,4453.9,4455.0,4452.7,4453.0,261,True
2023-07-03 07:00:00+01:00,4452.9,4453.0,4450.2,4451.2,404,True
2023-07-03 08:00:00+01:00,4451.7,4454.0,4451.2,4454.0,1114,True
2023-07-03 09:00:00+01:00,4453.7,4457.5,4453.5,4456.0,553,True
2023-07-03 10:00:00+01:00,4455.7,4456.0,4453.7,4454.5,370,True
2023-07-03 11:00:00+01:00,4454.4,4458.1,4451.5,4454.7,448,True
2023-07-03 12:00:00+01:00,4454.6,4455.2,4449.2,4450.2,385,True
2023-07-03 13:00:00+01:00,4450.1,4451.5,4448.0,4449.7,445,True
2023-07-03 14:00:00+01:00,4450.0,4453.4,4444.6,4452.6,1351,True
2023-07-03 15:00:00+01:00,4454.2,4455.0,4448.0,4450.0,1693,True
2023-07-03 16:00:00+01:00,4450.2,4455.2,4449.4,4454.2,719,True
2023-07-03 17:00:00+01:00,4454.4,4459.0,4453.4,4457.4,491,True
2023-07-03 18:00:00+01:00,4457.0,4457.0,4454.4,4456.8,325,True
2023-07-03 23:00:00+01:00,4454.0,4454.5,4453.0,4454.5,112,True
2023-07-04 00:00:00+01:00,4454.2,4455.4,4452.5,4453.1,159,True
2023-07-04 01:00:00+01:00,4453.0,4456.4,4452.2,4455.2,411,True
2023-07-04 02:00:00+01:00,4455.5,4456.5,4453.6,4456.4,329,True
2023-07-04 03:00:00+01:00,4456.2,4456.5,4454.2,4455.0,213,True
2023-07-04 04:00:00+01:00,4455.1,4457.2,4455.1,4456.7,131,True
2023-07-04 05:00:00+01:00,4456.2,4458.1,4456.2,4457.0,190,True
2023-07-04 06:00:00+01:00,4456.9,4458.0,4456.0,4456.2,159,True
2023-07-04 07:00:00+01:00,4455.7,4457.1,4454.7,4457.0,347,True
2023-07-04 08:00:00+01:00,4457.5,4459.0,4456.0,4458.0,807,True
2023-07-04 09:00:00+01:00,4457.7,4458.0,4452.7,4453.5,409,True
2023-07-04 10:00:00+01:00,4453.2,4455.4,4452.5,4455.1,249,True
2023-07-04 11:00:00+01:00,4455.0,4455.2,4451.5,4453.7,236,True
2023-07-04 12:00:00+01:00,4454.0,4456.5,4453.5,4455.2,224,True
2023-07-04 13:00:00+01:00,4455.5,4456.7,4454.7,4455.5,349,True
2023-07-04 14:00:00+01:00,4455.2,4456.8,4453.0,4455.8,301,True
2023-07-04 15:00:00+01:00,4456.2,4456.2,4453.4,4455.0,221,True
2023-07-04 15:00:00+01:00,4456.2,4456.2,4453.4,4455.0,221,True
2023-07-04 16:00:00+01:00,4454.8,4456.2,4454.4,4455.2,96,True
